Variable,Label,Concept,Source,Report_Year
DP03_0028E,Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Selected Economic Characteristics,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP03_0028PE,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Selected Economic Characteristics,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP03_0062E,Estimate!!INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Selected Economic Characteristics,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP03_0063E,Estimate!!INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),Selected Economic Characteristics,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0038E,Estimate!!RACE!!Total population!!One race!!Black or African American,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0038PE,Percent!!RACE!!Total population!!One race!!Black or African American,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0067E,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0067PE,Percent!!Race alone or in combination with one or more other races!!Total population!!Black or African American,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0037E,Estimate!!RACE!!Total population!!One race!!White,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0037PE,Percent!!RACE!!Total population!!One race!!White,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0066E,Estimate!!Race alone or in combination with one or more other races!!Total population!!White,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0066PE,Percent!!Race alone or in combination with one or more other races!!Total population!!Whit,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP02_0010PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder no spouse/partner present,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0027E,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0027PE,Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0031E,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0031PE,Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP03_0125PE,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families!!Families with female householder no spouse present,Selected Economic Characteristics,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP02_0011PE,Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder no spouse/partner present!!With children of the householder under 18 years,Selected Social Characteristics in the United States,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0003PE,Percent!!SEX AND AGE!!Total population!!Female,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0003E,Estimate!!SEX AND AGE!!Total population!!Female,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0002PE,Percent!!SEX AND AGE!!Total population!!Male,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
DP05_0002E,Estimate!!SEX AND AGE!!Total population!!Male,ACS Demographic and Housing Estimates,American Community Survey Data | https://api.census.gov/data/2022/acs/acs1/profile/variables.json,2022
